bedrooms,bathrooms,sqft_living,sqft_lot,sqft_basement,floors,condition,price
5,3.25,4770,50094,1700,1.0,4,1040000
3,2.0,1260,5612,0,1.0,4,325000
4,2.0,2750,7807,500,1.5,5,571000
4,2.5,2380,5000,0,2.0,3,360000
3,1.75,1790,50529,700,1.0,5,349000
4,4.0,3430,35102,1040,2.0,4,832500
4,1.75,1760,7300,880,1.0,3,380000
3,1.0,1040,5060,0,1.0,3,480000
3,1.0,1410,5060,500,1.0,4,410000
4,2.5,3450,39683,0,2.0,3,720000
3,2.5,2350,5100,0,2.0,3,390000
4,2.5,1900,5889,0,2.0,3,360000
2,1.0,2020,6720,1010,1.0,3,355000
3,1.5,1680,8712,0,1.0,3,356000
3,1.0,960,6634,0,1.0,3,315000
3,1.5,2140,3600,240,2.0,3,940000
5,2.25,2660,8400,0,1.5,5,305000
3,3.25,2770,6278,790,2.0,3,461000
2,2.25,1610,2040,0,2.0,4,215000
2,1.75,1030,1066,265,2.0,3,335000
4,2.5,1980,7403,0,2.0,3,243500
5,2.75,3520,6353,0,2.0,4,1099880
3,1.0,1200,10500,0,1.0,3,153000
3,1.5,1580,5000,290,1.0,3,430000
3,1.5,1580,5000,290,1.0,3,700000
4,2.5,3300,10250,910,1.0,3,905000
3,1.75,1960,15681,0,1.0,3,247500
4,1.5,1160,6400,0,1.0,4,199000
3,1.75,1810,41800,600,1.0,5,314000
3,2.5,2320,36847,0,2.0,3,437500
3,2.5,2070,13241,800,1.5,5,850830
3,2.0,1980,3478,540,1.5,4,555000
3,2.25,2190,107593,0,2.0,4,699950
3,2.5,2920,8113,0,2.0,3,1088000
3,1.0,1210,33919,0,1.0,3,290000
3,2.5,2340,10005,880,1.0,4,375000
3,1.0,1670,4005,500,1.5,4,460000
2,1.75,1240,2493,0,1.0,4,188500
4,2.5,3140,28037,0,2.0,4,680000
5,1.75,2030,12342,0,2.0,4,470000
4,2.5,2310,9624,0,2.0,3,597750
3,1.75,1260,3328,560,1.0,5,570000
3,1.75,1540,12600,380,1.0,4,272500
3,1.75,2080,5969,1000,1.0,3,329950
4,2.5,3230,16171,710,2.0,3,480000
3,3.5,4380,6350,1600,2.0,3,740500
3,3.5,1590,1102,0,3.0,3,518500
2,1.0,880,6780,0,1.0,4,205425
4,2.0,1570,9600,0,1.0,3,171800
4,1.0,1610,2982,0,1.5,4,535000
3,2.5,2400,6474,840,1.0,3,660000
3,2.0,1450,9132,0,1.0,3,391500
2,1.0,770,6000,0,1.0,3,395000
4,1.75,2100,4400,380,1.5,5,445000
3,2.25,2910,10204,0,2.0,3,770000
4,2.75,2750,17789,770,1.5,3,1450000
3,2.25,2100,8201,480,1.0,3,445000
4,2.25,2160,8811,800,1.0,3,260000
5,3.5,2320,4960,600,2.0,5,822500
4,2.5,2070,4310,0,2.0,3,430000
3,1.75,1060,7875,0,1.0,4,212000
4,2.25,2010,9603,570,1.0,3,660500
3,3.5,3950,111078,1490,1.5,3,784000
3,2.5,2010,2287,620,2.0,3,453246
4,3.5,2140,2278,0,3.0,3,675000
3,1.75,1320,17390,0,1.0,4,199000
4,1.75,2020,7840,1010,1.0,3,220000
4,2.25,2590,10002,1250,1.0,4,452000
2,1.0,1190,4440,0,1.0,3,382500
3,2.25,1170,1249,0,3.0,3,519950
2,1.0,1110,3200,0,1.0,3,665000
5,2.5,2820,9375,1270,1.0,4,527700
3,1.0,1610,8579,600,1.0,4,205000
3,1.0,1060,8097,120,1.0,4,420000
4,2.25,2030,8517,650,1.0,4,500000
4,2.5,3670,315374,0,2.0,4,921500
4,1.0,2550,4000,180,2.0,3,890000
2,2.5,2420,60984,0,2.0,3,430000
5,2.0,2260,12500,1130,1.0,4,258000
3,1.0,1430,3455,450,1.0,3,511000
3,2.0,1360,3090,0,2.0,3,532170
3,1.0,1110,5000,0,1.5,3,560000
3,1.0,1250,8200,0,1.0,4,282950
4,3.25,5180,19850,1640,2.0,3,2250000
1,1.0,700,5100,0,1.0,3,350000
3,1.0,1180,7669,0,1.0,4,215000
5,3.5,3960,25245,1460,2.0,3,650000
4,2.75,2640,7500,1020,1.0,3,320000
3,2.0,1270,7198,0,1.5,3,247000
4,1.75,1760,11180,0,1.0,4,320000
5,2.25,2060,8632,1030,1.0,3,255000
3,1.75,1780,9660,0,1.0,3,438000
3,2.5,3400,16603,0,2.0,3,900000
3,2.75,1910,7280,750,1.0,3,441000
3,2.0,2020,38332,1010,1.0,4,420000
3,1.75,1580,7000,400,1.0,3,370000
2,1.75,1340,7250,640,1.0,5,269950
4,2.5,2680,4499,0,2.0,3,807100
3,2.5,2680,9750,1070,1.0,4,653000
3,2.0,1370,8336,0,1.0,5,371500
3,1.75,1560,21000,0,1.0,3,284000
3,1.75,2160,7140,490,1.0,4,272000
3,1.5,1340,7912,0,1.5,3,313000
4,2.5,3880,35003,1310,2.0,3,917500
4,2.25,2590,8190,0,2.0,4,673000
3,2.5,1120,1100,300,2.0,3,425000
5,2.75,1970,5400,650,1.0,3,399950
3,1.0,1220,4800,0,1.0,3,385000
3,1.5,1950,7560,630,1.0,4,269950
2,1.0,1350,8220,290,1.0,3,330000
3,2.5,1670,5797,0,2.0,3,260000
4,3.0,2380,5125,700,1.5,4,470000
4,3.0,2440,9600,0,2.0,5,589000
2,1.5,1050,3419,0,2.0,3,163500
4,2.75,3130,13412,990,2.0,3,835000
5,3.0,4090,12850,2000,1.0,4,1095000
4,1.75,1490,10000,390,1.0,4,269000
3,2.5,1900,8744,0,2.0,3,560000
4,1.0,1330,2400,0,1.5,4,615000
3,2.25,2230,10026,800,1.0,3,585188
3,1.75,1650,9480,430,1.0,3,305000
3,1.0,1190,8820,0,1.0,3,166950
3,2.5,2140,9897,0,1.0,4,799000
3,2.5,2180,7508,760,1.0,4,400000
3,1.0,1060,10228,0,1.0,3,230000
3,2.5,1690,5025,0,2.0,3,256883
4,2.0,1970,6480,840,1.5,5,423000
3,2.5,2150,4084,0,2.0,3,465000
3,2.5,1910,66211,0,2.0,3,440000
3,1.75,1350,155073,0,1.0,4,385000
3,1.0,860,11725,0,1.0,4,210000
3,2.5,1940,14952,0,2.0,3,297000
3,1.0,1010,5000,0,1.0,3,470000
3,1.5,1300,7370,400,1.0,4,226500
3,1.0,910,8450,0,1.0,4,274250
4,1.75,2480,11010,850,1.0,4,840000
3,2.5,2440,4587,0,2.0,3,677900
3,1.0,1010,5864,0,1.0,3,425000
2,0.75,900,9600,0,1.0,3,180250
6,3.0,2300,3404,700,2.0,3,464000
4,2.25,1550,7579,0,2.0,3,320000
3,2.25,1270,1566,210,2.0,3,625504
4,2.5,2240,12032,0,1.0,3,592500
3,2.5,2714,17936,0,2.0,3,465000
4,2.75,1720,6270,0,2.0,3,477000
2,1.0,850,16400,0,1.0,3,280000
5,3.0,3300,33474,1430,1.0,3,1505000
3,2.5,2250,5692,0,2.0,3,445838
2,2.25,3900,14864,1950,1.0,3,1072000
2,1.5,1320,10800,0,1.0,4,467000
4,2.5,2760,6440,0,2.0,3,686000
3,2.0,1750,9750,400,1.0,3,279950
4,2.25,2330,19436,0,2.0,3,527000
3,2.25,2220,16020,440,1.0,4,325000
3,2.25,2020,8379,0,2.0,3,328000
3,2.25,1250,7500,0,1.0,5,390000
2,2.0,1510,6516,0,1.0,3,479950
4,2.25,1720,9753,600,1.0,4,264950
3,1.0,1430,15246,450,1.0,4,235000
3,2.5,1480,4729,0,2.0,3,516500
2,1.75,1450,15798,220,2.0,3,655000
4,2.75,2280,15347,0,1.0,5,500000
6,2.75,2940,7350,1160,1.0,3,315000
2,1.0,1000,10200,0,1.0,3,213000
3,1.5,2480,5280,860,1.5,5,475000
5,4.0,3760,28040,0,2.0,3,1025000
3,2.0,2220,94300,580,1.0,5,416000
4,1.0,1970,4740,300,1.5,3,410000
3,3.5,3830,221284,300,2.0,3,800000
6,2.5,4410,14034,2060,1.0,4,472000
3,1.75,1430,8505,0,1.0,4,225000
2,1.0,830,6000,0,1.0,3,210000
2,1.0,1430,5000,0,1.5,2,455000
3,1.0,1300,8316,0,1.0,4,225000
2,1.0,1030,3060,240,1.0,4,480000
3,2.5,2740,11872,0,2.0,3,363000
4,2.5,3650,8354,1820,1.0,3,2400000
2,1.5,720,5120,0,1.0,3,181000
4,2.0,2010,7312,0,1.0,4,250000
3,1.75,1560,3000,790,1.0,4,481000
3,2.0,1810,7209,570,1.0,4,260000
4,2.5,3360,7685,0,2.0,3,455000
3,2.25,1510,36224,0,2.0,3,415000
3,1.0,1400,3538,600,1.0,3,349500
3,2.5,1730,7442,0,2.0,3,245000
2,2.0,1420,9191,0,1.5,5,592500
4,1.75,2360,7620,1180,1.0,4,385000
3,1.75,1580,11455,380,1.0,4,315000
3,1.0,1230,10170,0,1.0,3,255000
4,2.5,2460,4425,0,2.0,3,693000
3,1.0,1660,4400,200,1.5,3,780000
3,1.75,1270,8470,0,1.0,4,237000
3,2.25,2100,40510,780,2.0,3,525000
2,1.0,770,5040,0,1.0,3,425000
1,0.75,760,10079,0,1.0,5,369900
4,2.5,1700,7280,0,2.0,4,290000
3,1.0,1120,10701,0,1.0,3,285000
2,1.0,1070,4500,0,1.0,3,415000
3,2.5,2070,9900,650,1.0,3,272500
4,3.25,5050,20100,300,1.5,3,2900000
4,4.75,5310,57346,0,2.0,4,1365000
2,1.0,1040,7538,0,1.0,4,436000
3,1.0,1700,11390,0,1.0,4,210000
3,1.0,1300,5898,0,1.0,3,236000
3,1.75,1080,1306,500,1.0,3,331000
3,2.5,2653,4510,0,2.0,3,365000
3,2.0,2290,16258,0,1.0,5,450000
4,2.75,3820,26300,970,2.0,3,770000
4,2.5,2210,49375,0,1.0,3,455000
3,1.75,2390,6000,1150,1.0,3,405000
4,1.75,2600,11325,990,1.0,4,304900
2,1.0,860,5265,0,1.0,3,170000
5,3.0,3830,8480,1200,2.0,5,2050000
4,2.5,3500,7048,0,2.0,3,780000
3,3.0,2420,13959,680,1.0,4,330000
4,2.5,2720,8666,0,2.0,3,370000
5,2.25,2500,13500,650,1.0,3,467000
3,1.75,1670,6720,530,1.0,3,405000
5,2.25,2900,10300,1450,1.0,3,675000
2,1.0,1640,14100,500,1.0,4,500000
4,2.5,1890,15770,0,2.0,4,389999
4,1.75,2950,9025,1170,1.0,4,630000
4,2.5,2160,9528,0,2.0,3,360000
4,3.0,3280,11060,1010,2.0,3,580000
3,2.0,1970,4166,700,2.0,5,550000
4,2.5,3360,22111,0,2.0,3,879000
3,2.0,1320,8959,0,1.0,3,265000
3,2.5,2650,7286,0,2.0,3,446500
3,1.5,2030,8880,700,1.0,3,404000
3,1.75,1590,11914,500,1.0,3,267500
4,5.0,4550,18641,1950,1.0,3,3075000
3,2.5,2440,7632,0,2.0,3,335000
3,2.5,1940,9000,970,1.0,4,576000
3,2.5,2040,3810,0,2.0,3,208633
3,2.25,2200,8750,1080,1.0,4,315000
3,1.75,1920,3300,960,1.0,4,725000
4,2.75,1800,7750,400,1.0,4,550000
4,2.25,2180,7297,0,2.0,3,610750
2,1.0,1010,5000,0,1.5,4,550700
4,2.75,3320,10574,1100,2.0,5,665000
4,2.5,2370,4000,390,1.5,5,834000
5,1.75,1660,78408,0,1.5,3,201000
5,2.5,3650,9050,280,2.0,5,2384000
4,3.25,4290,12103,1600,1.0,3,1384000
4,3.25,4290,12103,1600,1.0,3,1400000
4,2.25,1950,7700,600,1.0,3,305000
3,2.0,2590,14052,870,1.0,5,487000
3,2.5,1930,64904,0,1.0,4,390000
2,1.0,1470,3864,300,1.0,4,548000
4,1.0,800,8775,0,1.0,3,268750
5,2.75,3150,7119,0,2.0,3,819900
3,2.25,2030,16200,0,2.0,3,520000
3,2.0,1450,11204,0,1.0,3,230000
3,1.75,1510,10248,0,1.0,3,240000
2,1.0,1240,12092,280,1.0,3,232000
2,1.0,1240,12092,280,1.0,3,240500
3,2.5,3030,45004,0,2.0,3,274975
4,2.0,2050,4400,0,1.5,4,740000
3,1.0,1000,7636,0,1.0,2,186375
3,2.25,2370,10289,780,1.0,4,790000
4,3.5,2800,6750,910,2.0,3,880000
6,1.75,2240,11180,0,2.0,4,279000
3,2.0,1810,10530,0,1.0,3,295000
2,1.0,1070,5000,0,1.0,3,640000
4,2.0,2490,9525,0,2.0,5,940000
4,2.5,1960,5238,0,2.0,3,260000
3,2.75,2930,5569,1070,1.0,3,559900
4,2.0,1510,3500,0,1.5,5,791500
3,1.75,1420,8250,0,1.0,3,265000
3,1.75,1740,11547,0,1.0,3,245000
4,1.75,2560,43995,0,2.0,4,485000
4,3.5,3040,8414,620,2.0,3,684000
3,1.75,2500,6840,1200,1.0,3,425000
4,1.75,1275,20000,0,1.0,4,309600
4,2.5,2580,5823,0,2.0,3,552250
4,1.0,1000,7134,0,1.0,3,165000
4,1.0,1000,7134,0,1.0,3,239900
2,1.0,1070,32633,0,1.0,4,320000
3,2.0,1390,13464,0,1.0,4,206600
4,1.75,2500,7690,1250,1.0,3,387000
1,0.75,560,12120,0,1.0,3,299000
4,2.75,2270,10460,0,2.0,3,855000
3,1.0,1900,14400,600,1.0,4,315000
2,1.0,990,3120,200,1.0,5,437500
4,1.5,1550,19800,500,1.0,4,252000
4,1.75,2200,7475,1100,1.0,5,375000
4,2.5,1910,4862,0,2.0,3,300000
4,1.0,1750,9600,0,1.5,4,420000
3,1.0,1330,77972,0,1.0,3,900000
3,2.5,2440,5750,460,2.0,3,679900
3,2.5,1640,29970,0,2.0,3,463000
5,2.5,2760,11340,0,2.0,4,380000
4,2.5,1820,7912,0,2.0,3,329500
3,2.5,2110,5608,770,1.0,3,604950
5,2.5,3040,9570,1400,1.0,4,795000
3,2.0,1840,40438,0,2.0,3,465000
4,2.5,2990,10400,0,2.0,3,673000
4,2.5,3520,15420,0,2.0,3,810000
4,2.75,2440,69415,530,1.0,4,785000
4,3.0,2090,7500,720,1.0,3,338000
3,2.25,1430,7222,0,2.0,3,280000
4,2.25,2180,10754,1080,1.0,5,315000
4,2.25,2180,10754,1080,1.0,5,530000
5,3.0,3450,9914,0,2.0,3,380000
3,2.25,1450,7562,0,2.0,3,297000
4,2.5,3230,7331,0,2.0,3,730000
3,1.75,1640,13500,530,1.0,3,450000
3,3.0,1590,7750,530,1.0,3,275000
4,2.0,2020,2849,0,2.0,3,595000
3,1.5,1300,3348,0,1.5,3,435000
2,1.5,1380,209959,0,1.0,1,270000
3,3.0,4040,14338,1010,2.0,3,950000
4,2.25,2130,5337,0,2.0,3,389000
4,2.25,2550,7800,970,1.0,3,560000
5,3.5,4800,14984,1320,2.0,3,1350000
4,2.25,2510,11585,0,2.0,4,799000
3,2.0,1410,9600,0,1.0,4,365500
3,2.0,1650,7352,490,1.0,3,252350
4,2.5,2120,13780,0,2.0,3,403950
4,1.5,2040,10726,660,1.0,3,385000
4,1.0,1550,7620,0,1.5,3,345000
3,2.75,1980,3128,0,2.0,4,490000
3,2.5,1600,26977,0,2.0,3,330000
4,2.75,3300,12090,0,2.0,3,927000
4,2.5,3840,16619,0,2.0,4,1118000
2,1.0,1220,10000,0,1.0,5,330000
5,2.25,2720,8800,1220,1.0,4,530000
4,2.0,1940,25600,0,1.0,1,365000
3,2.5,2160,3000,900,1.5,3,378750
4,1.75,1530,8750,0,1.5,4,269900
3,3.5,1710,2096,420,2.0,3,557000
4,1.75,3730,16980,1580,1.0,4,360000
2,1.0,940,5000,0,1.0,4,352000
3,2.5,1750,22357,0,2.0,3,437000
4,2.5,1820,6753,0,2.0,3,322500
3,3.25,1510,2000,180,2.0,3,650000
3,2.0,1290,1213,0,3.0,3,450000
3,2.0,1570,5250,0,1.0,3,278500
4,2.5,1930,6957,0,2.0,3,364950
4,3.5,2840,40139,0,1.0,4,840000
3,2.5,1550,8134,0,2.0,3,268000
2,1.0,833,143947,0,1.0,3,517534
3,2.5,2990,32239,0,2.0,4,632925
3,2.5,2000,7251,0,2.0,3,577500
4,1.5,2390,7480,0,1.5,3,339000
3,1.75,2910,37461,1380,1.0,4,570000
4,1.75,2085,174240,475,1.0,3,563500
4,2.25,2200,9351,910,1.0,5,423000
3,2.25,1860,5028,0,2.0,3,355000
5,4.25,6070,171626,0,2.0,3,1550000
2,1.0,950,3960,0,1.0,3,482000
3,1.75,1600,9135,0,1.0,5,625000
3,2.5,2250,11632,0,2.0,3,538000
3,2.5,2280,10255,0,2.0,4,380000
2,1.0,940,5120,0,1.0,3,375000
3,2.5,1530,8500,500,1.0,5,245000
5,1.75,2190,27260,0,1.0,4,310000
3,2.0,2350,15021,580,1.0,4,1300000
4,2.0,1440,7680,240,1.0,3,397000
3,2.5,2200,4052,0,2.0,3,365000
4,3.0,2290,8250,0,2.0,3,328500
4,3.0,4040,19700,0,2.0,3,988000
4,2.5,2610,3277,690,1.5,5,1000000
3,2.5,1490,2138,0,2.0,3,237000
4,2.5,2450,5280,0,2.0,3,525000
4,2.5,1710,9627,270,1.0,3,749000
5,2.5,4870,11800,1400,2.0,3,722500
3,2.5,3130,8750,0,2.0,3,843000
2,2.0,1270,1372,0,3.0,3,438000
3,1.75,2120,10875,580,1.0,3,578000
3,1.5,1670,8230,0,1.0,5,227950
3,2.25,2070,11576,0,2.0,3,196000
2,1.0,1420,5332,350,1.0,3,641000
3,1.5,1250,219978,0,1.0,4,350000
3,1.0,940,7980,0,1.0,4,205000
3,1.75,1920,9102,0,1.0,3,400000
3,2.5,3545,9816,935,1.0,3,1030000
3,2.0,1260,5460,0,1.0,3,505000
5,2.5,2340,7200,1040,1.0,3,475000
3,2.25,2590,9263,1150,1.0,5,520000
3,4.5,3970,24920,710,2.0,3,1450000
3,1.75,1220,9732,0,1.0,3,333500
3,1.0,1400,10403,0,1.0,4,232000
3,2.75,2360,16117,650,1.0,4,691100
3,1.75,1870,9897,0,1.0,4,811000
3,2.5,2830,5802,0,2.0,3,551000
3,2.5,2260,3640,0,2.0,3,496500
3,3.0,1970,20978,200,2.0,4,705000
4,2.5,3140,9225,1370,1.0,5,578000
3,1.75,1240,8659,0,1.0,5,255000
4,3.5,3450,7832,0,2.0,3,1050000
3,2.25,2570,8491,0,2.0,4,348000
3,2.0,1510,3413,0,2.0,3,230000
4,2.25,2390,11250,0,2.0,3,359500
3,1.0,980,7000,0,1.0,3,330000
1,0.75,430,5050,0,1.0,2,80000
3,1.75,1480,6360,0,1.0,3,465000
4,2.5,1850,7324,0,2.0,3,325000
3,2.0,2270,28025,350,1.0,4,340500
3,2.5,1810,5192,0,2.0,3,342500
2,2.0,1610,17600,0,2.0,3,290900
3,4.25,3840,6161,0,2.0,3,868700
4,2.75,4110,8400,980,2.0,3,1199000
4,3.25,4190,10259,1040,2.0,3,1150000
4,2.75,3390,6298,0,2.0,3,859900
4,2.25,1890,3006,0,2.0,3,520000
3,2.5,1610,2527,530,2.0,3,460000
3,1.5,1050,4590,200,1.0,3,438924
2,1.0,630,6550,0,1.0,3,315000
4,2.75,2910,10650,1130,1.0,3,590000
4,1.75,1700,8640,850,1.0,3,378500
3,2.5,1950,8130,0,2.0,4,328500
3,3.0,2990,9773,0,2.0,4,849950
3,1.5,1350,6000,450,1.0,3,525000
4,3.25,4860,181319,0,2.5,3,1385000
4,2.5,2160,7725,700,1.0,4,295000
6,3.5,4860,11793,1000,2.0,3,1067000
2,2.0,890,5000,0,1.0,3,207950
4,2.75,2810,7302,0,2.0,3,699900
5,2.5,3400,9500,0,2.0,4,1280000
4,1.5,1580,7350,620,1.0,4,452000
3,2.0,1680,5036,0,1.0,4,370000
3,1.75,1300,11230,0,1.0,5,232000
5,2.5,2820,14062,440,2.0,4,669950
3,2.0,1510,6710,440,1.0,3,397500
2,2.5,1230,1391,360,2.0,3,490000
4,2.0,2110,4140,400,2.0,3,725000
3,2.75,3080,19635,1470,1.0,4,299000
2,1.5,1490,5750,300,1.5,4,625000
3,2.5,2120,4500,0,2.0,3,437500
4,2.5,3180,5438,0,2.0,3,650000
2,1.0,1490,3825,630,1.0,3,475000
3,2.0,1930,11947,0,1.0,4,342000
4,2.5,2770,7800,0,2.0,3,1197354
3,1.5,1670,11610,0,1.0,4,280000
2,1.75,1330,7200,0,1.0,3,240000
3,1.0,1210,3328,0,1.5,4,529000
3,1.0,1190,5100,160,1.0,4,442000
2,1.0,1540,6872,720,1.0,4,615000
4,3.75,4030,10800,0,2.0,3,1485000
4,1.75,2430,7559,850,1.0,4,585000
4,2.5,2600,7787,0,2.0,3,480000
5,3.5,4410,57063,0,2.0,4,1095000
4,1.0,1330,8184,0,1.5,3,290000
3,1.75,1900,5000,950,1.0,5,615000
2,1.0,1100,7680,0,1.0,4,300000
3,1.0,1980,39150,400,1.5,3,308000
3,2.5,2400,7745,0,2.0,3,750000
4,2.25,4760,8036,1370,2.5,5,2250000
4,3.25,3180,194278,0,2.0,3,890000
3,1.0,1190,7560,0,1.0,5,288000
2,1.0,630,6000,0,1.0,3,190000
5,3.0,2530,5105,1010,1.0,3,515000
4,1.5,1690,11054,0,1.0,4,235000
2,1.0,940,5000,0,1.0,3,275000
2,2.0,1240,9119,0,1.0,4,727500
4,2.5,3040,6587,0,2.0,3,650000
6,5.0,6050,230652,0,2.0,3,1600000
4,1.0,1590,7085,0,1.5,3,365000
3,1.75,2500,36947,0,1.0,3,662000
3,2.5,1780,7848,460,1.0,3,270500
2,1.5,1360,1898,0,2.0,3,200000
4,3.25,4740,76230,0,2.0,3,970000
3,1.5,1010,9600,0,1.0,4,160000
3,1.0,1040,7405,0,1.0,4,204000
3,2.25,1610,6655,0,2.0,4,358000
4,1.75,1570,8268,0,1.0,3,452000
2,2.0,1510,4000,500,1.0,4,595000
3,2.0,1360,6082,0,1.0,3,249000
4,2.5,1970,5106,0,2.0,3,346900
3,2.5,5403,24069,0,2.0,4,2125000
4,2.5,1560,4350,0,2.0,3,280000
4,1.75,2320,12000,50,1.0,4,318888
3,2.25,2120,40518,0,1.0,3,530000
3,2.25,2120,18500,0,2.0,4,375000
4,2.5,3350,29242,0,2.0,3,910000
4,2.5,2380,9614,0,2.0,4,782000
2,2.0,1070,649,350,2.0,3,259950
4,2.75,2300,18360,740,1.0,4,315000
2,1.0,1320,8865,0,1.0,4,215000
3,1.75,2180,10221,1040,1.0,4,705000
3,3.0,4380,6320,800,2.0,5,1450000
3,1.75,1790,9813,0,2.0,3,451000
2,1.0,750,8125,0,1.0,4,261000
3,1.5,1300,8280,0,1.0,5,396000
4,2.5,2990,29170,0,2.0,3,725000
7,3.5,4640,15235,1780,2.0,3,1950000
4,1.0,1400,7242,0,1.5,3,238000
6,1.75,2750,9563,0,2.0,4,750000
4,2.5,2050,10271,0,2.0,3,331500
4,3.0,2230,108900,820,1.0,3,460000
4,2.25,2340,217014,0,1.0,4,404950
3,2.5,2870,5163,0,2.0,3,880000
4,2.5,4120,22370,0,2.0,3,863000
3,1.75,2080,9162,710,1.0,3,638700
3,2.5,1840,5680,0,2.0,3,435000
3,1.0,1180,5350,0,1.5,4,260000
5,2.75,2160,4000,630,1.5,5,671500
3,1.0,1180,3400,0,1.5,3,610000
2,0.75,1160,15029,290,1.0,4,405000
4,2.5,1830,5612,0,2.0,3,338900
4,4.0,3200,7708,0,2.0,3,720000
5,3.0,2560,5445,800,1.5,4,442000
5,2.75,2550,5040,0,1.5,5,650000
3,1.75,1330,9917,290,1.0,3,263500
2,1.0,1220,75794,0,1.0,4,300000
3,2.5,1805,3402,0,2.0,3,266000
4,4.0,6050,84942,1900,2.5,3,930000
4,2.5,2320,5493,0,2.0,3,530000
3,1.0,1384,8960,0,1.0,4,180000
3,2.5,2720,6439,0,2.0,3,619000
3,1.5,1820,10608,0,1.0,4,264000
2,2.25,2130,4920,600,1.5,4,730000
4,2.25,2060,10070,0,2.0,3,439000
4,1.75,1420,7500,340,1.0,4,268500
3,1.75,1510,15744,0,1.0,3,330000
3,2.5,2160,4000,200,1.5,3,640000
3,2.5,3180,12600,0,2.0,4,900000
3,2.25,2110,13300,0,2.0,4,370000
3,2.0,2060,2900,730,1.5,5,685000
3,1.5,1830,217800,820,1.0,3,505000
3,1.75,1820,32666,0,1.0,4,265000
3,2.5,1610,2937,0,2.0,3,290000
4,2.5,1780,3600,0,2.0,3,296000
4,2.5,1840,9611,0,2.0,3,360000
3,1.75,1460,10584,470,1.0,3,240500
2,2.5,1400,2958,0,2.0,3,372500
3,2.5,3370,14402,0,2.0,3,595000
4,3.0,3590,8249,0,2.0,3,515000
4,2.25,3200,15367,0,2.0,4,1220000
2,1.75,1670,6460,0,1.0,3,507000
