JobTitle,BasePay,OvertimePay,OtherPay,Year,TotalPay,TotalPayBenefits,Agency
Manager I,43418.38,0.0,7.69,2013,43426.07,60505.93,San Francisco
Transit Operator,32674.81,11072.61,357.9,2013,44105.32,60470.19,San Francisco
Manager II,59859.85,0.0,0.0,2013,59859.85,60458.45,San Francisco
Painter,42955.78,1077.76,331.0,2013,44364.54,60437.25,San Francisco
Construction Inspector,44352.0,0.0,0.0,2013,44352.0,60426.65,San Francisco
Public Service Trainee,37800.0,0.0,0.0,2013,37800.0,60403.5,San Francisco
Public Service Trainee,37800.0,0.0,0.0,2013,37800.0,60403.5,San Francisco
Public Service Trainee,37800.0,0.0,0.0,2013,37800.0,60403.5,San Francisco
Library Assistant,40886.48,0.0,728.06,2013,41614.54,60402.24,San Francisco
Gardener,42887.44,0.0,262.96,2013,43150.4,60385.9,San Francisco
Senior Clerk,47526.62,0.0,0.0,2013,47526.62,60382.82,San Francisco
Police Officer,44421.0,0.0,0.0,2013,44421.0,60375.76,San Francisco
Arborist Technician,47722.5,2070.64,610.2,2013,50403.34,60371.9,San Francisco
Transit Operator,41271.51,0.0,0.0,2013,41271.51,60359.0,San Francisco
Parking Control Officer,42960.59,6241.3,557.66,2013,49759.55,60355.27,San Francisco
Arborist Technician,47722.5,2072.82,577.8,2013,50373.12,60341.4,San Francisco
Junior Clerk,38834.61,0.0,0.0,2013,38834.61,60332.02,San Francisco
Transit Operator,39820.99,931.68,285.5,2013,41038.17,60324.45,San Francisco
Library Assistant,41403.75,0.0,1088.86,2013,42492.61,60323.79,San Francisco
Library Page,39475.66,0.0,721.67,2013,40197.33,60314.31,San Francisco
Porter,39789.69,2156.7,479.77,2013,42426.16,60313.9,San Francisco
Nursing Assistant,30396.0,6260.47,11605.76,2013,48262.23,60286.42,San Francisco
PS Aide to Prof,39849.37,195.44,0.0,2013,40044.81,60282.24,San Francisco
Eng/Arch/Landscape Arch Sr,60276.63,0.0,0.0,2013,60276.63,60276.63,San Francisco
Environmental Service Worker,39602.3,374.8,0.0,2013,39977.1,60214.89,San Francisco
Custodian,39050.19,792.45,73.09,2013,39915.73,60211.14,San Francisco
Sheet Metal Worker,43836.0,0.0,2025.6,2013,45861.6,60194.24,San Francisco
Custodian,38731.98,371.07,3121.84,2013,42224.89,60182.96,San Francisco
General Laborer,42101.64,0.0,541.71,2013,42643.35,60164.49,San Francisco
Registered Nurse,47475.0,0.0,3382.45,2013,50857.45,60162.98,San Francisco
Library Assistant,38256.68,0.0,1057.74,2013,39314.42,60160.95,San Francisco
Special Nurse,50619.11,437.85,8484.45,2013,59541.41,60136.79,San Francisco
Diagnostic Imaging Tech I,41394.23,1331.88,3803.42,2013,46529.53,60121.77,San Francisco
Nutritionist,44558.81,0.0,0.0,2013,44558.81,60092.39,San Francisco
Custodian,41119.35,554.72,1663.1,2013,43337.17,60091.26,San Francisco
Special Nurse,44676.0,0.0,7631.92,2013,52307.92,60077.58,San Francisco
Manager V,59465.51,0.0,0.0,2013,59465.51,60060.2,San Francisco
Hospital Eligiblity Worker,43232.29,0.0,373.36,2013,43605.65,60055.87,San Francisco
Transit Operator,36114.22,3099.52,875.83,2013,40089.57,60027.44,San Francisco
Microphoto/Imaging Technician,37872.9,0.0,0.0,2013,37872.9,60010.09,San Francisco
General Laborer,37781.71,1712.81,972.0,2013,40466.52,59964.46,San Francisco
Junior Engineer,42565.0,0.0,0.0,2013,42565.0,59946.87,San Francisco
Public SafetyComm Disp,36864.8,4735.56,3697.4,2013,45297.76,59892.26,San Francisco
ASR Senior Office Specialist,36974.24,0.0,8194.18,2013,45168.42,59891.66,San Francisco
Transit Fare Insp. Sup/Invst.,43848.14,0.0,0.0,2013,43848.14,59884.62,San Francisco
Senior Clerk,40717.09,0.0,2071.18,2013,42788.27,59874.2,San Francisco
Library Page,38068.72,0.0,645.02,2013,38713.74,59867.81,San Francisco
Medical Social Worker,42911.25,0.0,2393.95,2013,45305.2,59861.1,San Francisco
Physician Specialist,47095.21,0.0,0.0,2013,47095.21,59849.74,San Francisco
Communications Dispatcher 1,45345.56,3534.06,635.87,2013,49515.49,59838.17,San Francisco
Transit Operator,35615.77,3090.83,1332.65,2013,40039.25,59827.56,San Francisco
Nurse Practitioner,43771.2,0.0,671.4,2013,44442.6,59825.61,San Francisco
Porter,37102.8,3278.15,2115.82,2013,42496.77,59815.21,San Francisco
Attorney (Civil/Criminal),44900.4,0.0,2958.56,2013,47858.96,59768.53,San Francisco
Personnel Analyst,43117.53,0.0,0.0,2013,43117.53,59747.49,San Francisco
Patient Care Assistant,40185.78,383.0,1021.02,2013,41589.8,59745.97,San Francisco
Library Assistant,41111.51,0.0,844.44,2013,41955.95,59728.24,San Francisco
Public Relations Officer,44587.55,0.0,0.0,2013,44587.55,59719.47,San Francisco
Sheriff's Cadet,31847.66,6050.42,3076.47,2013,40974.55,59716.97,San Francisco
Food Service Worker,21931.82,24816.3,475.11,2013,47223.23,59715.65,San Francisco
Special Nurse,49716.8,0.0,9985.83,2013,59702.63,59702.63,San Francisco
Engineer,59349.75,0.0,0.0,2013,59349.75,59692.58,San Francisco
Food Service Worker,33255.45,7281.68,561.66,2013,41098.79,59689.01,San Francisco
Special Nurse,50999.71,0.0,8095.73,2013,59095.44,59686.43,San Francisco
Special Nurse,46731.42,0.0,4988.14,2013,51719.56,59680.6,San Francisco
Manager III,59088.47,0.0,0.0,2013,59088.47,59679.36,San Francisco
Social Worker,41202.21,0.0,1380.44,2013,42582.65,59676.65,San Francisco
Health Worker 3,40722.44,0.0,0.0,2013,40722.44,59671.48,San Francisco
Transit Operator,38254.38,2381.98,755.86,2013,41392.22,59660.43,San Francisco
Nurses Staffing Assistant,29403.1,16547.03,877.44,2013,46827.57,59659.17,San Francisco
Psychiatric Social Worker,42160.51,0.0,1502.49,2013,43663.0,59647.75,San Francisco
Porter,39793.92,917.1,0.0,2013,40711.02,59644.87,San Francisco
Transit Operator,35937.58,3569.12,418.25,2013,39924.95,59644.03,San Francisco
General Laborer,41293.14,1146.89,513.95,2013,42953.98,59639.72,San Francisco
Librarian 1,43153.19,0.0,646.06,2013,43799.25,59637.03,San Francisco
Environmental Service Worker,39415.71,28.07,0.0,2013,39443.78,59636.15,San Francisco
Librarian 1,42734.25,0.0,1098.56,2013,43832.81,59627.69,San Francisco
Health Care Billing Clerk 2,33423.01,0.0,13394.66,2013,46817.67,59608.62,San Francisco
Manager VI,22990.56,0.0,29172.54,2013,52163.1,59602.94,San Francisco
Customer Service Agent,42923.18,1339.04,1070.62,2013,45332.84,59588.95,San Francisco
Librarian 1,43172.21,0.0,597.18,2013,43769.39,59584.15,San Francisco
Special Nurse,49265.65,1741.37,7985.46,2013,58992.48,59582.4,San Francisco
Librarian 1,42210.62,0.0,934.34,2013,43144.96,59570.65,San Francisco
Nursing Supervisor,44057.07,0.0,6217.92,2013,50274.99,59566.85,San Francisco
Transit Operator,37776.57,2687.43,369.39,2013,40833.39,59556.34,San Francisco
Library Page,39568.03,0.0,0.0,2013,39568.03,59553.92,San Francisco
Special Nurse,58963.8,0.0,0.0,2013,58963.8,59553.4,San Francisco
Librarian 1,43305.52,0.0,368.97,2013,43674.49,59542.45,San Francisco
Public Svc Aide-Public Works,31239.04,7357.68,304.41,2013,38901.13,59539.07,San Francisco
Health Worker 2,41009.34,0.0,1081.23,2013,42090.57,59527.17,San Francisco
Accountant Intern,48094.58,0.0,0.0,2013,48094.58,59522.72,San Francisco
Public Service Trainee,37240.0,0.0,0.0,2013,37240.0,59521.42,San Francisco
Registered Nurse,48323.0,0.0,652.95,2013,48975.95,59514.38,San Francisco
Payroll Clerk,47961.12,0.0,0.0,2013,47961.12,59507.75,San Francisco
Library Technical Assistant 1,42156.83,0.0,694.3,2013,42851.13,59492.73,San Francisco
Library Technical Assistant 1,40394.49,0.0,565.45,2013,40959.94,59459.92,San Francisco
Special Nurse,39811.28,0.0,9413.09,2013,49224.37,59453.74,San Francisco
Media Production Tech,41001.88,185.37,1171.43,2013,42358.68,59427.05,San Francisco
Physician Specialist,46012.5,0.0,1979.45,2013,47991.95,59419.78,San Francisco
Engineering Associate 1,35964.01,0.0,10063.86,2013,46027.87,59417.93,San Francisco
Train Controller,31290.56,11486.33,6661.59,2013,49438.48,59409.59,San Francisco
Sergeant 3,42456.06,2151.82,3206.6,2013,47814.48,59405.35,San Francisco
IS Programmer Analyst-Senior,48657.3,0.0,0.0,2013,48657.3,59402.3,San Francisco
Deputy Probation Officer,45080.96,0.0,0.0,2013,45080.96,59387.93,San Francisco
IS Business Analyst,44350.24,0.0,0.0,2013,44350.24,59371.74,San Francisco
Planner 2,43758.93,0.0,0.0,2013,43758.93,59328.18,San Francisco
Senior Clerk,40964.02,0.0,0.0,2013,40964.02,59306.74,San Francisco
Manager I,40536.0,0.0,0.0,2013,40536.0,59304.04,San Francisco
Special Nurse,44283.3,0.0,7380.38,2013,51663.68,59301.42,San Francisco
Asst Engr,29005.78,0.0,21327.93,2013,50333.71,59300.3,San Francisco
Transit Operator,38329.97,1961.71,421.72,2013,40713.4,59273.18,San Francisco
Registered Nurse,37320.63,3236.72,6699.42,2013,47256.77,59238.6,San Francisco
Housing Inspector,38636.52,0.0,7906.35,2013,46542.87,59231.64,San Francisco
Transit Supervisor,39459.41,1055.68,526.19,2013,41041.28,59215.86,San Francisco
Transit Operator,36227.02,5166.97,198.76,2013,41592.75,59210.34,San Francisco
Accountant Intern,41955.5,0.0,0.0,2013,41955.5,59207.63,San Francisco
Court Interpreter,41436.31,0.0,1860.56,2013,43296.87,59185.89,San Francisco
Library Page,38536.28,0.0,950.55,2013,39486.83,59183.86,San Francisco
Sign Worker,41442.75,534.19,539.06,2013,42516.0,59171.4,San Francisco
Senior Clerk,38318.03,0.0,0.0,2013,38318.03,59164.16,San Francisco
Special Nurse,53303.48,5157.54,95.97,2013,58556.99,59142.6,San Francisco
Recreation Specialist,40769.92,0.0,756.88,2013,41526.8,59133.86,San Francisco
Special Nurse,51153.0,0.0,631.89,2013,51784.89,59112.91,San Francisco
Environmental Service Worker,39049.45,0.0,0.0,2013,39049.45,59112.42,San Francisco
Clerk,38734.86,0.0,0.0,2013,38734.86,59110.03,San Francisco
Transit Supervisor,42337.19,28.8,1247.12,2013,43613.11,59098.56,San Francisco
Publ Svc Aide-Asst to Prof,36747.03,0.0,0.0,2013,36747.03,59097.91,San Francisco
Automotive Mechanic,32219.7,7414.22,6148.15,2013,45782.07,59095.41,San Francisco
Special Nurse,56840.2,0.0,1656.24,2013,58496.44,59081.41,San Francisco
Special Nurse,46982.26,0.0,5044.19,2013,52026.45,59080.84,San Francisco
Elections Clerk,39341.3,628.04,968.98,2013,40938.32,59078.5,San Francisco
Stationary Engineer,44222.48,3615.09,0.0,2013,47837.57,59073.92,San Francisco
Publ Svc Aide-Asst to Prof,36730.02,0.0,0.0,2013,36730.02,59066.34,San Francisco
Patient Care Assistant,37925.69,2506.91,3242.49,2013,43675.09,59051.52,San Francisco
Automotive Mechanic,42383.51,0.0,1472.83,2013,43856.34,59016.82,San Francisco
Eligibility Worker Supervisor,43175.85,519.75,55.0,2013,43750.6,59008.26,San Francisco
Transit Operator,38085.79,510.58,1312.84,2013,39909.21,58989.28,San Francisco
Gardener,39448.0,147.0,20.0,2013,39615.0,58981.22,San Francisco
Senior Account Clerk,33822.38,0.0,11789.68,2013,45612.06,58970.8,San Francisco
Public Service Aide-Admin,36639.06,0.0,0.0,2013,36639.06,58964.09,San Francisco
Customer Service Agent,43286.34,1033.65,396.34,2013,44716.33,58948.67,San Francisco
Custodian,38257.75,2839.61,228.97,2013,41326.33,58944.7,San Francisco
Human Services Technician,40533.0,44.55,1052.2,2013,41629.75,58934.17,San Francisco
PS Aide to Prof,37606.57,0.0,0.0,2013,37606.57,58907.82,San Francisco
Senior Clerk,40432.71,0.0,479.67,2013,40912.38,58902.79,San Francisco
Bldg & Grounds Patrol Officer,41018.51,0.0,523.84,2013,41542.35,58894.74,San Francisco
PS Aide to Prof,39532.96,809.64,0.0,2013,40342.6,58881.94,San Francisco
Pharmacist,58630.09,0.0,230.91,2013,58861.0,58861.0,San Francisco
Publ Svc Aide-Asst to Prof,36032.53,905.92,0.0,2013,36938.45,58860.0,San Francisco
Eligibility Worker,39653.76,1088.89,3283.26,2013,44025.91,58847.81,San Francisco
Special Nurse,46613.58,0.0,4683.85,2013,51297.43,58832.32,San Francisco
Nursing Assistant,35462.0,1147.05,8526.73,2013,45135.78,58823.26,San Francisco
Medical Evaluations Assistant,40708.02,186.2,0.0,2013,40894.22,58783.94,San Francisco
Junior Engineer,42668.11,0.0,0.0,2013,42668.11,58757.21,San Francisco
Medical Evaluations Assistant,41088.15,391.0,119.19,2013,41598.34,58756.7,San Francisco
Library Assistant,40753.9,0.0,501.83,2013,41255.73,58747.56,San Francisco
"Claims Investigator, CA",42454.5,0.0,0.0,2013,42454.5,58741.54,San Francisco
Library Assistant,37841.68,0.0,728.01,2013,38569.69,58724.26,San Francisco
Parking Control Officer,36827.41,241.45,2006.78,2013,39075.64,58715.72,San Francisco
Medical Evaluations Assistant,29900.1,15989.5,270.38,2013,46159.98,58707.75,San Francisco
Junior Administrative Analyst,46871.5,644.92,0.0,2013,47516.42,58693.35,San Francisco
Administrative Analyst,41536.0,0.0,0.0,2013,41536.0,58677.3,San Francisco
Transit Operator,38648.45,2462.35,205.32,2013,41316.12,58672.12,San Francisco
"Marriage, Family & Child Cnslr",42882.52,0.0,0.0,2013,42882.52,58671.9,San Francisco
Special Nurse,43043.15,0.0,7971.34,2013,51014.49,58666.36,San Francisco
Senior Physician Specialist,46564.7,0.0,1830.0,2013,48394.7,58638.56,San Francisco
Public Service Trainee,39360.0,0.0,0.0,2013,39360.0,58628.85,San Francisco
Senior Clerk,40466.36,0.0,0.0,2013,40466.36,58617.4,San Francisco
Clerk,23862.73,21183.31,560.0,2013,45606.04,58600.89,San Francisco
Patient Care Assistant,32408.41,5055.42,4731.7,2013,42195.53,58590.19,San Francisco
Health Care Billing Clerk 2,40185.0,198.28,0.0,2013,40383.28,58577.49,San Francisco
Librarian 1,42162.88,0.0,825.78,2013,42988.66,58522.86,San Francisco
Special Nurse,54958.06,1580.98,1386.61,2013,57925.65,58504.91,San Francisco
Physician Specialist,48724.41,0.0,0.0,2013,48724.41,58471.97,San Francisco
Health Worker 3,40529.82,329.85,0.0,2013,40859.67,58465.7,San Francisco
Special Nurse,42861.04,0.0,7612.03,2013,50473.07,58445.16,San Francisco
Librarian 1,42200.97,0.0,707.16,2013,42908.13,58431.47,San Francisco
Food Service Worker,22549.32,21346.86,1572.86,2013,45469.04,58429.08,San Francisco
PS Aide to Prof,38328.46,0.0,0.0,2013,38328.46,58426.3,San Francisco
Library Assistant,40318.5,0.0,772.79,2013,41091.29,58361.82,San Francisco
Senior Eligibility Worker,41962.9,0.0,520.0,2013,42482.9,58357.51,San Francisco
Planner 2,42980.09,0.0,0.0,2013,42980.09,58345.8,San Francisco
Registered Nurse,40126.98,1436.03,3947.43,2013,45510.44,58344.21,San Francisco
Porter,39008.85,1540.5,459.32,2013,41008.67,58303.99,San Francisco
Recreation Specialist,40692.94,0.0,276.24,2013,40969.18,58303.77,San Francisco
Transit Fare Insp. Sup/Invst.,57712.6,0.0,6.92,2013,57719.52,58296.74,San Francisco
Account Clerk,41160.22,0.0,0.0,2013,41160.22,58288.57,San Francisco
Special Nurse,45850.07,2839.0,9021.16,2013,57710.23,58287.35,San Francisco
Security Guard,34278.83,1625.75,4454.1,2013,40358.68,58273.27,San Francisco
Library Page,37896.9,0.0,595.23,2013,38492.13,58266.53,San Francisco
Accountant III,34447.81,0.0,11919.94,2013,46367.75,58246.07,San Francisco
Public Svc Aide-Public Works,30663.21,6960.87,291.75,2013,37915.83,58242.53,San Francisco
PS Aide to Prof,39421.28,0.0,0.0,2013,39421.28,58217.56,San Francisco
Publ Svc Aide-Asst to Prof,35879.37,510.38,0.0,2013,36389.75,58214.2,San Francisco
Librarian 1,41134.51,0.0,1724.0,2013,42858.51,58197.82,San Francisco
Special Nurse,49614.4,0.0,1163.3,2013,50777.7,58187.46,San Francisco
Transcriber Typist,40788.41,0.0,120.76,2013,40909.17,58173.49,San Francisco
Eligibility Worker,37886.03,2177.83,320.06,2013,40383.92,58173.48,San Francisco
Admission Attendant,36012.28,3883.91,160.0,2013,40056.19,58149.47,San Francisco
Eligibility Worker,40225.7,483.68,961.99,2013,41671.37,58141.71,San Francisco
Medical Evaluations Assistant,39371.24,0.0,200.0,2013,39571.24,58138.52,San Francisco
Transit Operator,36383.98,3056.94,956.27,2013,40397.19,58133.42,San Francisco
Truck Driver,40119.56,2148.21,183.75,2013,42451.52,58127.75,San Francisco
Food Service Worker,22535.33,21331.45,1369.41,2013,45236.19,58126.89,San Francisco
Nurse Practitioner,47068.5,0.0,0.0,2013,47068.5,58126.41,San Francisco
"Investigator,Taxi & AccessSvcs",41444.2,0.0,0.0,2013,41444.2,58125.63,San Francisco
General Laborer Supervisor 1,39324.38,2908.25,21.6,2013,42254.23,58121.34,San Francisco
Clerk,38014.21,0.0,0.0,2013,38014.21,58116.65,San Francisco
Custodian,36083.88,684.33,2741.83,2013,39510.04,58089.54,San Francisco
Special Nurse,50702.24,0.0,12.55,2013,50714.79,58084.16,San Francisco
Patient Care Assistant,37931.38,1990.95,2770.25,2013,42692.58,58078.34,San Francisco
Transit Operator,32797.31,8641.56,266.33,2013,41705.2,58057.52,San Francisco
Junior Administrative Analyst,41462.28,0.0,0.0,2013,41462.28,58048.0,San Francisco
IS Engineer-Principal,44311.1,0.0,0.0,2013,44311.1,58028.6,San Francisco
Librarian 1,42067.66,0.0,502.88,2013,42570.54,58003.57,San Francisco
Planner 2,34137.6,0.0,11900.54,2013,46038.14,57988.24,San Francisco
Custodian,38539.56,1848.6,453.9,2013,40842.06,57980.23,San Francisco
Cable Splicer,43848.94,5001.49,0.0,2013,48850.43,57978.8,San Francisco
Estate Investigator,42377.4,0.0,0.0,2013,42377.4,57975.08,San Francisco
Transit Operator,33159.84,4834.13,1113.02,2013,39106.99,57944.54,San Francisco
Patient Care Assistant,33761.04,7562.99,1836.16,2013,43160.19,57919.34,San Francisco
Patient Svcs Finance Tech,40267.42,0.0,189.07,2013,40456.49,57910.31,San Francisco
Transit Operator,35046.17,4384.08,1558.45,2013,40988.7,57909.44,San Francisco
Clerk,39020.0,0.0,0.0,2013,39020.0,57896.18,San Francisco
Home Health Aide,34404.29,3896.82,250.0,2013,38551.11,57876.19,San Francisco
Patient Care Assistant,37057.26,2577.38,267.78,2013,39902.42,57861.67,San Francisco
Public Service Trainee,36174.61,0.0,0.0,2013,36174.61,57843.22,San Francisco
PS Aide to Prof,39384.05,0.0,0.0,2013,39384.05,57820.69,San Francisco
Transit Operator,34470.0,2458.55,1277.6,2013,38206.15,57802.03,San Francisco
Special Nurse,48144.03,959.12,1369.11,2013,50472.26,57796.94,San Francisco
Special Nurse,50210.73,0.0,1315.92,2013,51526.65,57791.06,San Francisco
Senior Collections Officer,40068.0,0.0,0.0,2013,40068.0,57786.08,San Francisco
Transit Operator,35835.8,2180.92,2818.96,2013,40835.68,57780.53,San Francisco
Protective Services Worker,42894.98,0.0,291.9,2013,43186.88,57763.37,San Francisco
Library Technical Assistant 1,41116.99,0.0,474.22,2013,41591.21,57762.96,San Francisco
Senior Clerk Typist,40416.96,0.0,0.0,2013,40416.96,57752.6,San Francisco
Transit Operator,34640.22,2833.89,728.02,2013,38202.13,57749.88,San Francisco
Crafts Instructor,39430.71,0.0,1281.43,2013,40712.14,57749.41,San Francisco
